142913828922
         5957738 function calls in 1.983 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.983    1.983 {built-in method builtins.exec}
        1    0.103    0.103    1.983    1.983 attempt5.py:3(<module>)
   148933    0.950    0.000    1.655    0.000 attempt5.py:21(mark_non_prime)
  5659866    0.705    0.000    0.705    0.000 attempt5.py:15(set_idx)
   148933    0.205    0.000    0.205    0.000 attempt5.py:6(get_next_id)
        1    0.021    0.021    0.021    0.021 {built-in method builtins.sum}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


