23514624000
         4220 function calls in 0.004 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    0.004    0.004 attempt3.py:23(<module>)
     1235    0.000    0.000    0.000    0.000 attempt3.py:26(multiply)
       95    0.000    0.000    0.001    0.000 attempt3.py:30(multiply_list)
        1    0.000    0.000    0.000    0.000 attempt3.py:37(str_to_numlist)
      893    0.000    0.000    0.000    0.000 attempt3.py:44(update_result)
        2    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
        2    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
        1    0.000    0.000    0.004    0.004 {built-in method builtins.exec}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
     1000    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      987    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}


