906609
         478653 function calls in 0.251 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      505    0.002    0.000    0.003    0.000 attempt5.py:11(is_palindrome)
        1    0.178    0.178    0.251    0.251 attempt5.py:3(<module>)
    69660    0.008    0.000    0.008    0.000 attempt5.py:3(is_large)
   408480    0.063    0.000    0.063    0.000 attempt5.py:7(get_remainder)
        2    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
        2    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
        1    0.000    0.000    0.251    0.251 {built-in method builtins.exec}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


