906609
         5531321 function calls in 3.803 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   810000    2.904    0.000    3.494    0.000 attempt1.py:11(is_palindrome)
        1    0.308    0.308    3.803    3.803 attempt1.py:3(<module>)
     2470    0.000    0.000    0.000    0.000 attempt1.py:3(is_large)
  4718843    0.589    0.000    0.589    0.000 attempt1.py:7(get_remainder)
        2    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
        2    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
        1    0.000    0.000    3.803    3.803 {built-in method builtins.exec}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


