906609
         1181390 function calls in 0.603 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    53488    0.188    0.000    0.228    0.000 attempt2.py:11(is_palindrome)
        1    0.296    0.296    0.603    0.603 attempt2.py:3(<module>)
   810000    0.079    0.000    0.079    0.000 attempt2.py:3(is_large)
   317894    0.040    0.000    0.040    0.000 attempt2.py:7(get_remainder)
        2    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
        2    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
        1    0.000    0.000    0.603    0.603 {built-in method builtins.exec}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


