25164150
         112 function calls in 0.000 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 attempt1.py:14(square_of_sum)
        1    0.000    0.000    0.000    0.000 attempt1.py:3(<module>)
      102    0.000    0.000    0.000    0.000 attempt1.py:3(square)
        1    0.000    0.000    0.000    0.000 attempt1.py:7(sum_of_squares)
        2    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
        2    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.exec}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


